Tempo_Ephemeris_s,Tipo_Dado_ID,Banda_ID,Observavel
1753110901,11,2,-35311.166198729
1753110901,11,3,-134182.371475219
1753110902,11,2,-35310.789026259
1753110902,11,3,-134181.758262633
1753110903,11,3,-134181.160316466
1753110903,11,2,-35310.520462035
1753110904,11,2,-35310.504247664
1753110904,11,3,-134180.695217132
1753110905,11,2,-35310.675136565
1753110905,11,3,-134180.160423278
1753110906,11,2,-35310.049933433
1753110906,11,3,-134179.514442443
1753110907,11,2,-35309.740466117
1753110907,11,3,-134178.871528624
1753110908,11,3,-134178.297962188
1753110908,11,2,-35309.321643828
1753110909,11,3,-134177.79969406
1753110909,11,2,-35309.617523192
1753110910,11,2,-35309.506257056
1753110910,11,3,-134177.286460875
1753110911,11,3,-134176.8693161
1753110911,11,2,-35309.891326903
1753110912,11,2,-35309.590719222
1753110912,11,3,-134176.259384154
1753110913,11,3,-134175.692005156
1753110913,11,2,-35309.420862197
1753110914,11,3,-134175.121971129
1753110914,11,2,-35309.248390197
1753110915,11,2,-35308.825800895
1753110915,11,3,-134174.517780303
1753110916,11,3,-134174.026447295
1753110916,11,2,-35309.022739409
1753110917,11,2,-35308.682744979
1753110917,11,3,-134173.480667113
1753110918,11,3,-134172.956398009
1753110918,11,2,-35308.888796805
1753110919,11,2,-35308.626491546
1753110919,11,3,-134172.388923644
1753110920,11,3,-134171.82250595
1753110920,11,2,-35308.433317183
1753110921,11,2,-35308.34269905
1753110921,11,3,-134171.2562294
1753110922,11,2,-35308.153059005
1753110922,11,3,-134170.697227477
1753110923,11,2,-35307.811380385
1753110923,11,3,-134170.066226958
1753110924,11,2,-35307.911717414
1753110924,11,3,-134169.585727691
1753110925,11,3,-134169.017868041
1753110925,11,2,-35307.647253035
1753110926,11,2,-35307.690526008
1753110926,11,3,-134168.459056853
1753110927,11,2,-35307.357875823
1753110927,11,3,-134167.917396544
1753110928,11,2,-35307.140867232
1753110928,11,3,-134167.259105681
1753110929,11,2,-35307.047373771
1753110929,11,3,-134166.760604857
1753110930,11,3,-134166.19586563
1753110930,11,2,-35307.054424285
1753110931,11,3,-134165.650417327
1753110931,11,2,-35306.817214965
1753110932,11,3,-134165.080894469
1753110932,11,2,-35306.729047774
1753110933,11,3,-134164.531574248
1753110933,11,2,-35306.616483687
1753110934,11,2,-35306.362346648
1753110934,11,3,-134163.960151671
1753110935,11,2,-35306.169923781
1753110935,11,3,-134163.38821411
1753110936,11,2,-35305.970596312
1753110936,11,3,-134162.807468413
1753110937,11,3,-134162.300304412
1753110937,11,2,-35306.05791664
1753110938,11,2,-35305.934034347
1753110938,11,3,-134161.748645781
1753110939,11,3,-134161.108264922
1753110939,11,2,-35305.498714446
1753110940,11,2,-35305.333441733
1753110940,11,3,-134160.560485839
1753110941,11,2,-35305.552714347
1753110941,11,3,-134160.081665038
1753110942,11,3,-134159.553531646
1753110942,11,2,-35305.517320632
1753110943,11,3,-134158.932537078
1753110943,11,2,-35305.128376006
1753110944,11,3,-134158.43043518
1753110944,11,2,-35305.253099441
1753110945,11,2,-35304.995210647
1753110945,11,3,-134157.843936919
1753110946,11,2,-35304.485210418
1753110946,11,3,-134157.202117919
1753110947,11,3,-134156.639205932
1753110947,11,2,-35304.478689193
1753110948,11,3,-134156.10596466
1753110948,11,2,-35304.354207992
1753110949,11,3,-134155.519489287
1753110949,11,2,-35304.288757323
1753110950,11,3,-134155.076034545
1753110950,11,2,-35304.434827804
1753110951,11,2,-35304.095038413
1753110951,11,3,-134154.453281402
1753110952,11,2,-35303.759901046
1753110952,11,3,-134153.863906859
1753110953,11,2,-35303.555472373
1753110953,11,3,-134153.24085617
1753110954,11,2,-35303.65558052
1753110954,11,3,-134152.782993316
1753110955,11,2,-35303.300192832
1753110955,11,3,-134152.157764434
1753110956,11,2,-35303.033222197
1753110956,11,3,-134151.522102355
1753110957,11,2,-35302.723947524
1753110957,11,3,-134150.972042083
1753110958,11,3,-134150.394157409
1753110958,11,2,-35302.616519927
