source_id,ra,dec,phot_g_mean_mag,astrometric_excess_noise,x_true_equator,dgm_sector
3817166310468370048,167.84419881672522,5.957825458660913,10.383249,113.09901,-6539.58750620027,Retrograde
3818114055131654912,168.70294365793444,7.148290263168297,14.236305,52.62624,-3703.8785158458327,Retrograde
3913974564082576384,171.27724596649912,8.533061311378098,13.355183,49.68796,5226.157042965838,Prograde
3814445976966593664,172.0095329235417,6.411823890957274,12.053735,40.78221,8260.790852219496,Prograde
3813469473202601856,170.76025384849515,4.138294985979627,8.244168,33.07833,4241.9514355075835,Prograde
3814032118213757568,172.17371215170843,5.317616894608975,14.482545,27.753803,9062.75820198482,Prograde
3913748163470735616,171.62821224107728,8.094741923826922,9.8089905,27.647726,6566.8979038257185,Prograde
3811982765978218496,169.562374958497,3.6937094120634124,14.987019,25.361067,47.34189473291377,Prograde
3817067938537504256,169.31316135785084,6.262822710001629,13.272589,24.700315,-1348.5100062764225,Retrograde
3818495345148360448,168.60698007162128,7.3293458235528695,14.732646,20.197426,-4082.5042688875124,Retrograde
3818918588405482240,168.77184217639325,8.590642030625157,14.876458,18.876781,-3741.107473714443,Retrograde
3814131452217026816,172.15249741780167,5.504997978522506,12.148285,18.402897,8950.090184834215,Prograde
3811921880521868288,170.0833994555503,3.575981902926442,13.400269,17.88302,1932.9642525606564,Prograde
3812177757492823552,168.61690024397782,3.90757874496778,12.946817,15.47709,-3374.4403911498543,Retrograde
3814071563193142656,171.29600683786472,5.423834075207015,12.696577,14.143983,5904.3886665765785,Prograde
3812819666125749888,171.24680265565618,4.328782678188033,11.891063,12.378354,5943.750609591787,Prograde
3813150962722965376,172.47899480620515,4.3989401521150855,13.020382,11.431279,10334.617903607525,Prograde
3812620585801765888,171.230448288206,3.4874168257020566,14.337033,9.117561,6050.673274632773,Prograde
3811160056403132288,169.89798494491774,3.327613789072087,14.77485,8.488184,1318.9926437557829,Prograde
3812830970479675648,171.47069248618612,4.348953864433674,14.2383995,8.336759,6740.113822872425,Prograde
3817619206179975936,171.0201478218688,7.386261878082469,14.245304,8.269394,4532.542362920032,Prograde
3914032455946126336,171.01901209024254,8.805050152259426,11.6771345,7.739441,4249.597127718101,Prograde
3813264590377933440,172.42572540521252,5.2094607486623214,13.550178,7.3388996,9984.877636375764,Prograde
3814144062241236736,172.40400928561587,5.7891834214632105,14.187927,6.7542605,9793.296363528398,Prograde
3817934491138223872,167.30646778167642,6.202733906810209,11.543248,6.5687566,-8509.929355155155,Retrograde
3818054058732923776,167.2470921801118,6.933089870681859,12.124797,6.5081396,-8865.739530163763,Retrograde
3818772525157875712,168.00931503359905,7.870003586937904,13.663169,6.4687014,-6325.223537598089,Retrograde
3913954841592578816,171.34756074312762,8.312956808340257,13.375724,6.462057,5520.772923334256,Prograde
3812665047303166976,170.76761470331897,3.655750949954199,13.693658,6.357988,4363.115629690795,Prograde
3818368145397017728,167.16898169726807,7.435171217825286,14.907233,6.2702494,-9243.649376975296,Retrograde
