source_id,ra,dec,phot_g_mean_mag,astrometric_excess_noise,x_true_equator,dgm_sector
6051678227955547136,248.84810677346715,-21.29810357299822,12.689441,89.251816,-10183.433678977084,Prograde
6052735511460818944,247.98117301087066,-20.259175182173447,14.062508,83.01583,-7486.25701474272,Prograde
6243033658241750272,243.4729073960369,-21.35851069006476,14.069903,75.742744,7617.862364212404,Retrograde
6045957915631923968,247.72272077916574,-25.528414911064246,12.500194,74.67645,-5757.078787522671,Prograde
6049434262158227456,246.2889697018904,-23.746098893990446,14.778034,60.668427,-1307.0698991424078,Prograde
6048904263199878656,246.10014510775537,-25.723225991309736,13.274193,55.240215,-354.2405565054829,Prograde
6050390081368207488,243.74063013809356,-23.271048135453224,14.926585,51.478138,7048.863483251198,Retrograde
6244457525794645248,244.91550734357492,-20.92913697477868,13.998709,50.233917,2771.828102932073,Retrograde
6051869435600896512,246.93199874063365,-22.263650300157344,14.351407,44.79612,-3681.2363752762103,Prograde
6048820283699407872,245.12681094180556,-25.187790184802957,14.125001,37.59631,2778.596796655705,Retrograde
6050422860560721280,244.26036517851213,-22.97681972629748,14.45392,36.32613,5279.813267219518,Retrograde
6052304571622485120,247.617431037378,-21.525215625090276,13.368383,35.91449,-6072.382205332916,Prograde
6049419865427691904,245.75330075866748,-23.798245202580286,13.520907,35.534138,474.57824080666035,Retrograde
6052254681282750848,246.1685426769166,-21.03869361602076,14.056576,34.41975,-1357.4054863148062,Prograde
6050422860560270336,244.263453232872,-22.97739735926811,14.706198,32.790382,5269.687951080438,Retrograde
6047214378246494464,248.76084281376697,-25.754705285558188,14.692422,31.799706,-9155.618080107992,Prograde
6049023525846483328,246.0263412378511,-24.946476597784795,12.524365,31.338099,-238.75697155242221,Prograde
6050407948434871808,243.54608212271054,-23.09349723927487,10.486308,30.50454,7663.353567274576,Retrograde
6050410662854003968,243.9785728618344,-23.254189033395598,14.637903,30.075441,6258.505443002843,Retrograde
6049523425685855744,243.63204575780915,-25.189615302347274,14.623847,28.86448,7726.396873622478,Retrograde
6049577301755736704,243.59227297416842,-24.98833287861281,13.341864,28.191866,7824.66399359109,Retrograde
6050395647645843072,243.58151268673842,-23.32171653707806,14.176748,26.862427,7583.925287467303,Retrograde
6049937082576078336,243.4711818784639,-24.00253654665137,14.942714,26.413141,8061.999129033084,Retrograde
6051749726273388032,246.49191153418926,-22.871028823760557,14.127533,26.125107,-2123.885408862106,Prograde
6049913271276641280,243.17481287464958,-24.19173377146744,14.409977,23.883347,9074.317963762971,Retrograde
6050468799520954752,244.34425037224986,-22.990337250216488,14.541866,23.73371,5004.404555417591,Retrograde
6050486941468081280,244.91407108302087,-22.788052395425037,14.2688055,23.399048,3084.82248649008,Retrograde
6051481037418365824,248.63351885866388,-21.970728972651322,14.886696,22.624432,-9361.639851874212,Prograde
6051004124244968192,246.721009593504,-22.87054320952428,14.258803,21.237644,-2882.2536379874296,Prograde
6051057175685982848,247.92811336262184,-22.694470554459404,13.212675,19.309378,-6906.821445345831,Prograde
6050345448060695040,244.23369212474407,-23.490434951028064,13.114399,19.222324,5453.264290052639,Retrograde
6052077694277373952,245.172663555489,-22.04109851911184,12.717729,19.216486,2105.0537796778003,Retrograde
6050130592321648640,244.7126740013345,-23.842152608304538,10.688535,19.154293,3926.2113663817177,Retrograde
6051121050439699072,247.55585139360682,-22.44346396720442,14.680208,18.734423,-5716.299250564036,Prograde
6050422104646020736,244.26528422583775,-22.9784652888628,14.534283,18.175642,5263.804660430874,Retrograde
6045751031353472256,247.820993483246,-25.96694088505158,14.433284,17.781584,-6009.63467314236,Prograde
6050350842546471296,244.60411641132117,-23.38026203707864,14.504868,17.232677,4208.934761281062,Retrograde
6050952515921144192,246.4701052703044,-23.326863062346664,12.7641535,17.066711,-1976.1239828569278,Prograde
