source_id,ra,dec,astrometric_excess_noise
2448536979727861888,1.9874702321766675,-2.067033738336085,10.401676
2448544259696940288,2.2136013292543235,-2.000796350758741,3.880618
2448548004908438016,1.9763266593863216,-1.9206427669681343,1.1658746
2448729905364890112,1.8853167703094345,-1.9270466135842144,11.819635
2448742687187607040,1.9723398230526286,-1.7407024465678358,1.2489882
2448755370223911808,1.8614914767220863,-1.6937221164472733,1.7487266
2448757225650972288,1.8710955781705219,-1.5993846416902704,7.4642286
2738798085136531840,2.0019854536803585,1.7588075141978243,17.533857
2738892982438371840,2.1924488954138153,1.8671057425472837,3.5168662
2544545682229046528,3.0938073136020527,-2.0899706908596394,4.0883822
2544555096798312320,2.6859529338390917,-2.082144756289809,17.380297
2544555333020810112,2.724175427938944,-2.062755896034619,1.2071867
2544556574266337920,2.607021241301046,-2.0807207445207148,5.5670323
2544565194265746944,2.7609376866227597,-1.9533312263241114,4.5191417
2544568321001964672,2.7760767904637556,-1.8426762606647165,1.9034469
2544573307458716928,3.2414593404471157,-1.8786364367482722,41.922802
2544573337526018816,3.2439607260398664,-1.8726907852505672,2.6533847
2544579281760805120,3.3024126284145776,-1.853565378534493,4.8753185
2544581205903398912,3.407517486505082,-1.7928174726177966,1.6403852
2544584676236992256,3.332172385683933,-1.756032392626217,20.603146
2544585195928964224,3.370229262348651,-1.7254732396332746,1.0508364
2544586359864278656,3.3089846367453695,-1.6731699248116272,2.3368185
2544588077851050368,2.9497200127216616,-1.8601590640940182,27.50235
2544593167388276352,2.9919111330667025,-1.786390998974775,2.5205548
2544594915439052672,2.9907550308823576,-1.6818433172060585,34.11926
2544595430835091328,3.1573148429600164,-1.7757627864229926,12.07712
2544595911871444352,3.2049856585826126,-1.7426909611873602,1.3129125
2544605085921979648,2.486141430491485,-2.0071919658282424,1.2793132
2544605670037531520,2.4189276378774,-2.0107253519293478,1.1415302
2544614053813721216,2.595635730778741,-1.8982313374284383,1.1133425
2544622575029110400,2.304257990475888,-1.8782842999913378,1.618436
2544625568620484224,2.3284845517914086,-1.755132891700156,50.485416
2544626530694149120,2.1739349846302356,-1.818037853636819,24.289661
2544629034659944192,2.354322613927972,-1.719611547136969,1.0952631
2544629897948599808,2.2444363398405547,-1.698104567918234,44.508045
2544631684654310016,2.4327414288236313,-1.7356988757054144,1.356103
2544639583098907392,2.832760585561201,-1.7505591795627273,29.818377
2544640068431310976,2.88073920550912,-1.7149173501876163,2.487131
2544641889497213312,2.8606726371252296,-1.6811464530827618,19.314075
2544642709835309440,2.8488250622422933,-1.6548906855837613,4.7996078
2544648344832238848,3.0056742030303596,-1.6020770437458556,1.33549
2544652128699299200,3.0941778501635535,-1.46055272986503,1.8032393
2544652678455304832,2.923892700578271,-1.5380210068372462,12.542191
2544655014916696960,2.9744450903425297,-1.4642411025886057,1.2852751
2544657931201024640,2.6909333935313735,-1.5547230503499228,3.4369233
2544661298454314496,2.7239502800164805,-1.4325634023787932,1.1826767
2544662810282794880,2.4834033315126804,-1.4809973141634156,1.1246465
2544663570492205696,2.647908472425884,-1.4685769249398166,19.211466
2544665627781260928,2.6390846745181795,-1.3601909290936327,1.0867177
2544674458234029824,2.8002611871995646,-1.2187118520581974,34.25204
2544674222011040000,2.83021201152975,-1.216255267384719,12.728476
2544681570699242112,3.5254380472092555,-1.5873225549659862,37.53674
2544681879936967168,3.561992837294541,-1.5668544720478343,4.0479736
2544684319478313088,3.75488509465041,-1.548785882902217,1.3246074
2544684319478313344,3.7438696808015917,-1.548298547099994,19.80553
2544692192154444416,3.326526665645465,-1.6156795925203804,38.991814
2544695142795873792,3.4524538423978037,-1.4983127552548636,1.8732646
2544699888735839616,3.2905541536275975,-1.432925678405718,20.125057
2544708341230737792,3.5371526767998103,-1.2723102087931881,9.210844
2544721977751924480,4.119670664019413,-1.1914163615471154,29.988264
2544723214702686720,3.9440183346547157,-1.224363030352633,1.063321
2544725482445554560,4.020889492775666,-1.1406491928400302,3.0345113
2544726414452984320,4.0134857084887665,-1.1227795633588629,1.8594989
2544728716555571968,3.63771295029886,-1.2697996971427907,5.1671424
2544731461040687360,3.761658214452503,-1.1582221789831761,4.7889533
2544733900582072704,3.687211273450505,-1.1817947995106366,6.810361
2544737851951369600,3.87013019564581,-1.097015738312115,1.8637674
2544741326580082816,3.805723511044092,-1.0543801815486011,15.882971
2544743766120868480,3.9123188184143443,-0.9361218212131517,2.6088278
2544744449020862720,3.8738858006330132,-0.9445936466419917,1.0516278
2544747236455022080,3.273139175950886,-1.395512801458748,1.4097532
2544747884994424320,3.313405791097147,-1.3319660904982724,1.0541002
2544752214321481728,3.2492191949344176,-1.2666717159449805,1.7739648
2544767165103259264,2.880618714559471,-1.2399406678923204,14.724356
2544769600348763648,2.991544544530102,-1.1320180127316126,16.136856
2544770665500657920,2.9353627127119792,-1.095105998673969,12.572999
2544774857389136768,3.1873728645359325,-1.0564835846956413,1.1560172
2544776059979635200,3.051222503669574,-1.0769554226373614,1.526214
